RazaoSocial;Municipio;UF;DescNaturezaJuridica;DataAbertura;IdadeEmp;PorteEmpresa;DS_ITCP_TP_MATERIAL_SERVICO;ANO_EMPENHO;VL_EMPENHADO
1 BIT GESTAO E CONSULTORIA LTDA;REDENÇÃO;PA;Sociedade Empresária Limitada;16/03/2014;7;NÃO INFORMADO;Material;2020;7573.53
1001 COMERCIO VAREJISTA DE CARTUCHOS LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;11/10/2010;11;NÃO INFORMADO;Material;2019;2020.00
18 GIGAS COMERCIO DE EQUIPAMENTOS EIRELI;CURITIBA;PR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);24/04/2014;7;EMPRESA DE PEQUENO PORTE;Material;2018;78816.31
18 GIGAS COMERCIO DE EQUIPAMENTOS EIRELI;CURITIBA;PR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);24/04/2014;7;EMPRESA DE PEQUENO PORTE;Material;2019;7038.65
2R - CERTIFICACAO DIGITAL LTDA;MANAUS;AM;Sociedade Empresária Limitada;15/07/2019;2;NÃO INFORMADO;Serviço;2020;570.00
2REACH INFORMATICA LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;25/11/2009;12;NÃO INFORMADO;Serviço;2018;12824.86
3 D APPLICATIONS COMERCIO E SERVICOS LTDA;GUARULHOS;SP;Sociedade Empresária Limitada;26/10/2017;4;EMPRESA DE PEQUENO PORTE;Material;2020;39065.94
3A TECNOLOGIA E SOLUCOES EM SEGURANCA LTDA;UBERLÂNDIA;MG;Sociedade Empresária Limitada;08/07/2013;8;EMPRESA DE PEQUENO PORTE;Material;2018;7170.00
3A TECNOLOGIA E SOLUCOES EM SEGURANCA LTDA;UBERLÂNDIA;MG;Sociedade Empresária Limitada;08/07/2013;8;EMPRESA DE PEQUENO PORTE;Serviço;2018;15000.00
3C EMPREENDIMENTOS LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;01/10/1996;25;NÃO INFORMADO;Material;2018;24523.12
3CON CONSULTORIA E SISTEMAS S.A.;SANTANA DE PARNAÍBA;SP;Sociedade Anônima Fechada;16/11/1993;28;DEMAIS;Serviço;2018;93455.59
3CON CONSULTORIA E SISTEMAS S.A.;SANTANA DE PARNAÍBA;SP;Sociedade Anônima Fechada;16/11/1993;28;DEMAIS;Serviço;2019;94135.21
3L TECNOLOGIA LTDA.;PORTO ALEGRE;RS;Sociedade Empresária Limitada;27/12/2005;16;EMPRESA DE PEQUENO PORTE;Serviço;2018;11650.00
3M GERENCIAMENTO EMPRESARIAL - EIRELI;BRASÍLIA;DF;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);10/02/2014;7;NÃO INFORMADO;Material;2018;32300.45
